rank,domain,word1,tld,phrase_count,premium_likely,restricted
260,accept.credit,accept,credit,635757,1,0
261,windows.media,windows,media,633809,0,0
262,product.review,product,review,633421,0,0
263,largest.city,largest,city,632472,0,0
264,sex.site,sex,site,630778,0,0
265,chart.data,chart,data,626339,1,0
266,free.news,free,news,624333,0,0
267,free.blog,free,blog,624326,0,0
268,demonstrate.how,demonstrate,how,624297,1,0
269,statistical.data,statistical,data,623921,1,0
270,experimental.data,experimental,data,623206,1,0
271,home.country,home,country,622335,0,0
272,printer.ink,printer,ink,622259,0,0
273,incest.pictures,incest,pictures,619707,0,0
274,relationship.management,relationship,management,617929,0,0
275,injury.lawyer,injury,lawyer,616853,0,0
276,mountain.bike,mountain,bike,613988,0,0
277,last.day,last,day,608307,0,0
278,local.phone,local,phone,607936,1,0
279,share.capital,share,capital,607471,0,0
280,estate.tax,estate,tax,607143,0,0
281,playing.games,playing,games,604077,0,0
282,charter.school,charter,school,601466,0,0
283,first.review,first,review,600896,0,0
284,little.one,little,one,598459,0,0
285,fresh.flowers,fresh,flowers,593824,1,0
286,test.data,test,data,593699,1,0
287,virus.software,virus,software,593523,0,0
288,about.online,about,online,591634,0,0
289,feature.film,feature,film,590461,0,0
290,bondage.pics,bondage,pics,589556,0,0
291,right.one,right,one,588418,0,0
292,retail.store,retail,store,588338,0,0
293,written.report,written,report,585030,0,0
294,three.parts,three,parts,584247,0,0
295,home.security,home,security,583765,1,0
296,members.online,members,online,583485,0,0
297,site.online,site,online,583087,0,0
298,all.claims,all,claims,581695,0,0
299,including.how,including,how,577930,1,0
300,dating.online,dating,online,574866,0,0
301,reference.data,reference,data,574818,1,0
302,business.world,business,world,574770,0,0
303,fucking.video,fucking,video,574119,0,0
304,environmental.health,environmental,health,573949,1,0
305,software.tools,software,tools,572999,0,0
306,without.giving,without,giving,572178,0,0
307,accounting.software,accounting,software,569834,0,0
308,ever.online,ever,online,565862,0,0
309,see.page,see,page,564183,0,0
